id,title,is_premium,difficulty,acceptance_rate,accepted,submissions,companies,related_topics,likes,dislikes,rating,asked_by_faang,topics_list,topic_count,companies_list,company_count,difficulty_score,estimated_time,problem_value,normalized_likes,normalized_topic_count,normalized_company_count,popularity_score
238,Product of Array Except Self,0,Medium,61.4,742.5K,1.2M,"Facebook,Amazon,Apple,Asana,Lyft,Microsoft,Uber,Adobe,VMware,Nvidia,Oracle,Intel",Array,7122,545,93,1,['Array'],1,"['Facebook', 'Amazon', 'Apple', 'Microsoft', 'Uber', 'Adobe', 'VMware', 'Oracle']",8,2,20,63.20657759506682,0.35227778602166493,0.2,0.5,0.5161388930108325
242,Valid Anagram,0,Easy,58.9,793.5K,1.3M,"Bloomberg,Facebook,Microsoft,Amazon,Apple,Oracle,Google,Goldman Sachs,Adobe,Cisco,Paypal,Qualcomm","Hash Table,Sort",2484,162,94,1,"['Hash Table', 'Sort']",2,"['Bloomberg', 'Facebook', 'Microsoft', 'Amazon', 'Apple', 'Oracle', 'Google', 'Goldman Sachs', 'Adobe', 'Cisco', 'Paypal']",11,1,10,63.72045220966085,0.12286689419795221,0.4,0.6875,0.4414334470989761
253,Meeting Rooms II,1,Medium,47.1,410.4K,871.4K,"Amazon,Bloomberg,Facebook,Google,Microsoft,Oracle,Uber,Yandex,ByteDance,Twitter,Apple,Walmart Labs,Adobe,Expedia,eBay","Heap,Greedy,Sort",3642,57,98,1,"['Heap', 'Greedy', 'Sort']",3,"['Amazon', 'Bloomberg', 'Facebook', 'Google', 'Microsoft', 'Oracle', 'Uber', 'Yandex', 'ByteDance', 'Twitter', 'Apple', 'Adobe', 'Expedia', 'eBay']",14,2,20,54.67625899280576,0.18014542216946133,0.6,0.875,0.5100727110847306
283,Move Zeroes,0,Easy,58.7,1.1M,1.9M,"Facebook,Bloomberg,Microsoft,Adobe,Capital One,Apple,Amazon,Google,eBay,SAP,Uber,Paypal,Cisco,Qualcomm,Yandex","Array,Two Pointers",5320,167,97,1,"['Array', 'Two Pointers']",2,"['Facebook', 'Bloomberg', 'Microsoft', 'Adobe', 'Apple', 'Amazon', 'Google', 'eBay', 'Uber', 'Paypal', 'Cisco', 'Yandex']",12,1,10,63.514902363823225,0.2631448780729089,0.4,0.75,0.5115724390364544
287,Find the Duplicate Number,0,Medium,57.9,495.2K,855.4K,"Microsoft,Amazon,Apple,Google,Bloomberg,Paypal,Goldman Sachs","Array,Two Pointers,Binary Search",7163,759,90,1,"['Array', 'Two Pointers', 'Binary Search']",3,"['Microsoft', 'Amazon', 'Apple', 'Google', 'Bloomberg', 'Paypal', 'Goldman Sachs']",7,2,20,65.77595066803701,0.3543057822624524,0.6,0.4375,0.5971528911312262
300,Longest Increasing Subsequence,0,Medium,44.5,524.6K,1.2M,"Apple,Amazon,Facebook,Bloomberg,Citrix,Google,ByteDance,Twitter,Microsoft,Nagarro","Binary Search,Dynamic Programming",6891,155,98,1,"['Binary Search', 'Dynamic Programming']",2,"['Apple', 'Amazon', 'Facebook', 'Bloomberg', 'Google', 'ByteDance', 'Twitter', 'Microsoft']",8,2,20,48.92086330935253,0.34085175842113075,0.4,0.5,0.5504258792105654
332,Reconstruct Itinerary,0,Medium,38.1,206.4K,541.3K,"Uber,Twilio,Amazon,Bloomberg,Facebook,Microsoft,Intuit,Expedia,Qualtrics,Twitter,Google,eBay,VMware","Depth-first Search,Graph",2621,1240,68,1,"['Depth-first Search', 'Graph']",2,"['Uber', 'Amazon', 'Bloomberg', 'Facebook', 'Microsoft', 'Expedia', 'Qualtrics', 'Twitter', 'Google', 'eBay', 'VMware']",11,2,20,42.34326824254882,0.12964336944155908,0.4,0.6875,0.44482168472077954
346,Moving Average from Data Stream,1,Easy,73.6,179.2K,243.6K,"Google,Apple,Spotify,Indeed,Amazon","Design,Queue",848,84,91,1,"['Design', 'Queue']",2,"['Google', 'Apple', 'Amazon']",3,1,10,78.82836587872558,0.041944897858238114,0.4,0.1875,0.40097244892911904
347,Top K Frequent Elements,0,Medium,62.6,569.3K,909.6K,"Capital One,Facebook,Amazon,Oracle,Apple,Bloomberg,Google,ByteDance,Yelp,Microsoft,Walmart Labs,eBay","Hash Table,Heap",4738,265,95,1,"['Hash Table', 'Heap']",2,"['Facebook', 'Amazon', 'Oracle', 'Apple', 'Bloomberg', 'Google', 'ByteDance', 'Microsoft', 'eBay']",9,2,20,67.52312435765674,0.23435722411831628,0.4,0.5625,0.49717861205915814
349,Intersection of Two Arrays,0,Easy,65.3,467K,715.6K,"Facebook,Amazon,Bloomberg,ByteDance,Apple","Hash Table,Two Pointers,Binary Search,Sort",1338,1513,47,1,"['Hash Table', 'Two Pointers', 'Binary Search', 'Sort']",4,"['Facebook', 'Amazon', 'Bloomberg', 'ByteDance', 'Apple']",5,1,10,76.46454265159302,0.06618192610179552,0.8,0.3125,0.4930909630508978
399,Evaluate Division,0,Medium,54.6,179.8K,329.2K,"Bloomberg,Amazon,Uber,Google,Facebook,Microsoft,Apple","Union Find,Graph",3334,268,93,1,"['Union Find', 'Graph']",2,"['Bloomberg', 'Amazon', 'Uber', 'Google', 'Facebook', 'Microsoft', 'Apple']",7,2,20,59.301130524152114,0.1649107187020824,0.4,0.4375,0.4624553593510412
401,Binary Watch,0,Easy,48.5,94.7K,195.1K,"Apple,Google","Backtracking,Bit Manipulation",730,1278,36,1,"['Backtracking', 'Bit Manipulation']",2,"['Apple', 'Google']",2,1,10,53.03186022610484,0.036108225750605925,0.4,0.125,0.39805411287530296
443,String Compression,0,Medium,44.1,163.4K,370.4K,"Goldman Sachs,Yandex,Microsoft,Apple,Citrix,Facebook,Amazon,eBay,Redfin,Google,VMware,Cisco,Nvidia",String,1251,3168,28,1,['String'],1,"['Goldman Sachs', 'Yandex', 'Microsoft', 'Apple', 'Facebook', 'Amazon', 'eBay', 'Google', 'VMware', 'Cisco']",10,2,20,45.426515930113055,0.06187861700549043,0.2,0.625,0.37093930850274526
703,Kth Largest Element in a Stream,0,Easy,50.9,127.9K,251.3K,"Amazon,Microsoft,Box,Facebook","Heap,Design",1178,717,62,1,"['Heap', 'Design']",2,"['Amazon', 'Microsoft', 'Facebook']",3,1,10,55.49845837615621,0.058267794430429835,0.4,0.1875,0.4091338972152149
739,Daily Temperatures,0,Medium,64.8,232K,357.9K,"Facebook,Bloomberg,Amazon,ByteDance,Google,Adobe,Microsoft,Paypal,Oracle,Salesforce,Twitter","Hash Table,Stack",4052,124,97,1,"['Hash Table', 'Stack']",2,"['Facebook', 'Bloomberg', 'Amazon', 'ByteDance', 'Google', 'Adobe', 'Microsoft', 'Paypal', 'Oracle', 'Twitter']",10,2,20,69.7841726618705,0.2004253845773359,0.4,0.625,0.480212692288668
977,Squares of a Sorted Array,0,Easy,71.8,454.3K,632.4K,"Facebook,Uber,Google,Amazon,Apple,Bloomberg,Yandex,Microsoft,ByteDance,Flipkart,Cisco","Array,Two Pointers",2213,114,95,1,"['Array', 'Two Pointers']",2,"['Facebook', 'Uber', 'Google', 'Amazon', 'Apple', 'Bloomberg', 'Yandex', 'Microsoft', 'ByteDance', 'Cisco']",10,1,10,76.97841726618704,0.1094623336795766,0.4,0.625,0.4347311668397883
997,Find the Town Judge,0,Easy,49.8,164.5K,330.3K,Amazon,Graph,1490,121,92,1,['Graph'],1,['Amazon'],1,1,10,51.2846865364851,0.07370035118959292,0.2,0.0625,0.3768501755947965
