day,id,title,difficulty,topics,companies,estimated_time,acceptance_rate,cumulative_time
17,1290,Convert Binary Number in a Linked List to Integer,Easy,"['Linked List', 'Bit Manipulation']","['Bloomberg', 'Microsoft']",10,81.7,10
17,876,Middle of the Linked List,Easy,['Linked List'],['Microsoft'],10,69.2,20
17,206,Reverse Linked List,Easy,['Linked List'],"['Adobe', 'Amazon', 'Facebook', 'Apple', 'Microsoft', 'Yandex', 'Google', 'Uber', 'Oracle', 'Bloomberg', 'Cisco', 'Goldman Sachs', 'ByteDance']",10,65.7,30
17,83,Remove Duplicates from Sorted List,Easy,['Linked List'],"['Amazon', 'Adobe', 'Goldman Sachs']",10,46.7,40
17,160,Intersection of Two Linked Lists,Easy,['Linked List'],"['Microsoft', 'Amazon', 'Facebook', 'Apple', 'ByteDance', 'Paypal', 'LinkedIn']",10,44.5,50
17,141,Linked List Cycle,Easy,"['Linked List', 'Two Pointers']","['Microsoft', 'Apple', 'Amazon', 'Goldman Sachs', 'Facebook', 'Google']",10,43.1,60
17,234,Palindrome Linked List,Easy,"['Linked List', 'Two Pointers']","['Microsoft', 'Facebook', 'Amazon', 'Adobe', 'Google', 'Oracle', 'Bloomberg', 'Uber', 'Snapchat']",10,41.9,70
17,203,Remove Linked List Elements,Easy,['Linked List'],"['Facebook', 'Amazon', 'Google', 'Microsoft', 'Apple']",10,39.5,80
17,426,Convert Binary Search Tree to Sorted Doubly Linked List,Medium,"['Linked List', 'Divide and Conquer', 'Tree']","['Facebook', 'Microsoft', 'Google', 'VMware', 'Amazon', 'Expedia']",20,61.6,100
17,445,Add Two Numbers II,Medium,['Linked List'],"['Microsoft', 'Amazon', 'Bloomberg', 'Facebook', 'Apple', 'Adobe', 'Uber', 'ByteDance']",20,56.5,120
18,86,Partition List,Medium,"['Linked List', 'Two Pointers']","['Microsoft', 'Amazon', 'Apple', 'Bloomberg', 'Facebook']",20,43.7,20
18,138,Copy List with Random Pointer,Medium,"['Hash Table', 'Linked List']","['Amazon', 'Facebook', 'Microsoft', 'Bloomberg', 'eBay', 'Oracle', 'Qualtrics']",20,41.4,40
18,19,Remove Nth Node From End of List,Medium,"['Linked List', 'Two Pointers']","['Facebook', 'Amazon', 'Microsoft', 'Bloomberg', 'Apple']",20,35.9,60
18,760,Find Anagram Mappings,Easy,['Hash Table'],['Google'],10,81.9,70
18,1213,Intersection of Three Sorted Arrays,Easy,"['Hash Table', 'Two Pointers']",['Facebook'],10,79.4,80
18,1207,Unique Number of Occurrences,Easy,['Hash Table'],['Apple'],10,71.9,90
18,136,Single Number,Easy,"['Hash Table', 'Bit Manipulation']","['Google', 'Amazon', 'Facebook', 'Microsoft']",10,66.7,100
18,349,Intersection of Two Arrays,Easy,"['Hash Table', 'Two Pointers', 'Binary Search', 'Sort']","['Facebook', 'Amazon', 'Bloomberg', 'ByteDance', 'Apple']",10,65.3,110
18,575,Distribute Candies,Easy,['Hash Table'],['Microsoft'],10,64.4,120
19,884,Uncommon Words from Two Sentences,Easy,['Hash Table'],"['Amazon', 'Facebook']",10,64.2,10
19,266,Palindrome Permutation,Easy,['Hash Table'],"['Facebook', 'Microsoft']",10,62.7,20
19,690,Employee Importance,Easy,"['Hash Table', 'Depth-first Search', 'Breadth-first Search']","['Google', 'Microsoft']",10,59.0,30
19,242,Valid Anagram,Easy,"['Hash Table', 'Sort']","['Bloomberg', 'Facebook', 'Microsoft', 'Amazon', 'Apple', 'Oracle', 'Google', 'Goldman Sachs', 'Adobe', 'Cisco', 'Paypal']",10,58.9,40
19,350,Intersection of Two Arrays II,Easy,"['Hash Table', 'Two Pointers', 'Binary Search', 'Sort']","['Amazon', 'Facebook', 'Oracle', 'Microsoft']",10,52.1,50
19,953,Verifying an Alien Dictionary,Easy,['Hash Table'],"['Facebook', 'Amazon']",10,51.8,60
