day,id,title,difficulty,topics,companies,estimated_time,acceptance_rate,cumulative_time
22,1342,Number of Steps to Reduce a Number to Zero,Easy,['Bit Manipulation'],"['Amazon', 'Microsoft']",10,85.7,90
22,252,Meeting Rooms,Easy,['Sort'],"['Facebook', 'Microsoft', 'Bloomberg', 'Amazon', 'Adobe']",10,55.5,100
22,973,K Closest Points to Origin,Medium,"['Divide and Conquer', 'Heap', 'Sort']","['Facebook', 'Amazon', 'LinkedIn', 'Apple', 'Uber', 'ByteDance']",20,64.6,120
23,1647,Minimum Deletions to Make Character Frequencies Unique,Medium,"['Greedy', 'Sort']","['Microsoft', 'Amazon', 'Apple']",20,55.1,20
23,253,Meeting Rooms II,Medium,"['Heap', 'Greedy', 'Sort']","['Amazon', 'Bloomberg', 'Facebook', 'Google', 'Microsoft', 'Oracle', 'Uber', 'Yandex', 'ByteDance', 'Twitter', 'Apple', 'Adobe', 'Expedia', 'eBay']",20,47.1,40
23,46,Permutations,Medium,['Backtracking'],"['Facebook', 'Amazon', 'ByteDance', 'LinkedIn', 'Apple', 'eBay', 'Microsoft', 'Paypal', 'Oracle']",20,67.1,60
23,131,Palindrome Partitioning,Medium,"['Dynamic Programming', 'Backtracking', 'Depth-first Search']","['Amazon', 'Apple', 'Google']",20,52.6,80
23,47,Permutations II,Medium,['Backtracking'],"['Facebook', 'Amazon', 'Microsoft']",20,49.8,100
23,70,Climbing Stairs,Easy,['Dynamic Programming'],"['Expedia', 'Amazon', 'Apple', 'Adobe', 'Goldman Sachs', 'Google']",10,48.8,110
24,198,House Robber,Medium,['Dynamic Programming'],"['Cisco', 'Amazon', 'Microsoft', 'Oracle', 'Bloomberg', 'ByteDance']",20,43.1,20
24,139,Word Break,Medium,['Dynamic Programming'],"['Facebook', 'Amazon', 'Bloomberg', 'Microsoft', 'ByteDance', 'eBay', 'Qualtrics', 'Oracle', 'Google']",20,41.9,40
24,304,Range Sum Query 2D - Immutable,Medium,['Dynamic Programming'],"['Facebook', 'Google', 'Microsoft', 'Amazon']",20,41.1,60
24,221,Maximal Square,Medium,['Dynamic Programming'],"['Amazon', 'Google', 'Twitter', 'ByteDance', 'Apple']",20,39.6,80
24,322,Coin Change,Medium,['Dynamic Programming'],"['Amazon', 'Bloomberg', 'Goldman Sachs', 'Apple', 'Microsoft', 'Uber', 'Oracle', 'Facebook']",20,37.7,100
24,215,Kth Largest Element in an Array,Medium,"['Divide and Conquer', 'Heap']","['Facebook', 'Amazon', 'Apple', 'Microsoft', 'Bloomberg', 'ByteDance', 'LinkedIn', 'Adobe', 'Google']",20,58.9,120
25,1047,Remove All Adjacent Duplicates In String,Easy,['Stack'],"['Facebook', 'Amazon', 'Oracle', 'Bloomberg', 'Microsoft']",10,71.2,10
25,503,Next Greater Element II,Medium,['Stack'],"['Amazon', 'Bloomberg', 'Apple', 'Facebook']",20,58.7,30
25,1209,Remove All Adjacent Duplicates in String II,Medium,['Stack'],"['Bloomberg', 'Facebook', 'Amazon', 'Google', 'Microsoft']",20,57.8,50
25,636,Exclusive Time of Functions,Medium,['Stack'],"['Facebook', 'Amazon', 'Microsoft', 'LinkedIn', 'Google']",20,55.0,70
25,394,Decode String,Medium,"['Stack', 'Depth-first Search']","['Bloomberg', 'Google', 'Amazon', 'Oracle', 'ByteDance', 'Apple', 'VMware', 'eBay', 'Cisco']",20,53.0,90
25,103,Binary Tree Zigzag Level Order Traversal,Medium,"['Stack', 'Tree', 'Breadth-first Search']","['Amazon', 'Microsoft', 'Bloomberg', 'Apple', 'Facebook', 'Qualtrics', 'eBay', 'Adobe', 'ByteDance', 'Google', 'Goldman Sachs', 'Oracle']",20,50.4,110
